Unnamed: 0,Interaction,Value,Time,Attribute,User_Index
655,added chart to bookmark,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515872495,"['IMDB_Rating', 'US_Gross']",655
656,mouseover on the specified chart,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515873435,"['IMDB_Rating', 'US_Gross']",656
657,mouseout on the specified chart,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515873465,"['IMDB_Rating', 'US_Gross']",657
658,mouseover on the specified chart,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515873466,"['IMDB_Rating', 'US_Gross']",658
659,mouseout on the specified chart,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515873532,"['IMDB_Rating', 'US_Gross']",659
660,mouseover on the specified chart,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515873532,"['IMDB_Rating', 'US_Gross']",660
661,mouseout on the specified chart,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515874048,"['IMDB_Rating', 'US_Gross']",661
662,clicked on a field,add Source,1604515877895,['None'],662
663,main chart changed because of clicking a field,"mark:point;encoding:IMDB_Rating-quantitative-size<aggregate>mean,Source-nominal-x,US_Gross-quantitative-y<bin>",1604515877952,"['IMDB_Rating', 'Source', 'US_Gross']",663
664,clicked on a field,remove Source,1604515879462,['None'],664
665,main chart changed because of clicking a field,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515879519,"['IMDB_Rating', 'US_Gross']",665
666,clicked on a field,add Distributor,1604515882357,['None'],666
667,main chart changed because of clicking a field,"mark:point;encoding:Distributor-nominal-y,IMDB_Rating-quantitative-x<bin>,US_Gross-quantitative-size<aggregate>mean",1604515882415,"['Distributor', 'IMDB_Rating', 'US_Gross']",667
668,clicked on a field,remove Distributor,1604515886937,['None'],668
669,main chart changed because of clicking a field,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515886994,"['IMDB_Rating', 'US_Gross']",669
670,clicked on a field,add Major_Genre,1604515889271,['None'],670
671,main chart changed because of clicking a field,"mark:point;encoding:IMDB_Rating-quantitative-size<aggregate>mean,Major_Genre-nominal-x,US_Gross-quantitative-y<bin>",1604515889313,"['IMDB_Rating', 'Major_Genre', 'US_Gross']",671
672,clicked on a field,remove Major_Genre,1604515893134,['None'],672
673,main chart changed because of clicking a field,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515893192,"['IMDB_Rating', 'US_Gross']",673
674,mouseover on the specified chart,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515893788,"['IMDB_Rating', 'US_Gross']",674
675,mouseout on the specified chart,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515893901,"['IMDB_Rating', 'US_Gross']",675
753,mouseover on the specified chart,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515911961,"['IMDB_Rating', 'US_Gross']",753
754,mouseout on the specified chart,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515912028,"['IMDB_Rating', 'US_Gross']",754
755,mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-color,IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515916163,"['Creative_Type', 'IMDB_Rating', 'US_Gross']",755
756,mouseout a related chart,"mark:point;encoding:Creative_Type-nominal-color,IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515916177,"['Creative_Type', 'IMDB_Rating', 'US_Gross']",756
766,mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-color,IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515916807,"['Creative_Type', 'IMDB_Rating', 'US_Gross']",766
775,mouseout a related chart,"mark:point;encoding:Creative_Type-nominal-color,IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515921744,"['Creative_Type', 'IMDB_Rating', 'US_Gross']",775
776,mouseover a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Release_Date-nominal-row,US_Gross-quantitative-y",1604515921744,"['IMDB_Rating', 'Release_Date', 'US_Gross']",776
791,mouseout a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Release_Date-nominal-row,US_Gross-quantitative-y",1604515922039,"['IMDB_Rating', 'Release_Date', 'US_Gross']",791
803,mouseover a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Release_Date-nominal-row,US_Gross-quantitative-y",1604515923138,"['IMDB_Rating', 'Release_Date', 'US_Gross']",803
813,mouseout a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Release_Date-nominal-row,US_Gross-quantitative-y",1604515923788,"['IMDB_Rating', 'Release_Date', 'US_Gross']",813
814,mouseover a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Release_Date-nominal-row,US_Gross-quantitative-y",1604515923789,"['IMDB_Rating', 'Release_Date', 'US_Gross']",814
815,mouseout a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Release_Date-nominal-row,US_Gross-quantitative-y",1604515924175,"['IMDB_Rating', 'Release_Date', 'US_Gross']",815
