Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon,Openended,Task,participant_id,user,threshold,ncp-1
ActorCritic,pro12_bdf_p2,0.8,0.001,0.5,1.0,0.7,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro12_bdf_p2,0.9,0.0001,0.99,1.0,0.8,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro4_bce_p2,0.05,0.001,0.05,1.0,0.6266666666666667,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro4_bce_p2,0.1,0.001,0.2,1.0,0.6338028169014085,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro4_bce_p2,0.2,0.001,0.99,1.0,0.6349206349206349,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro4_bce_p2,0.3,0.001,0.99,1.0,0.6727272727272727,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro4_bce_p2,0.4,0.01,0.05,1.0,0.7446808510638298,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro4_bce_p2,0.5,0.5,0.8,1.0,0.7692307692307693,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro4_bce_p2,0.6,0.001,0.2,1.0,0.78125,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro4_bce_p2,0.7,0.001,0.2,1.0,0.7916666666666666,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro4_bce_p2,0.8,0.01,0.1,1.0,0.875,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro4_bce_p2,0.9,0.01,0.5,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu16_bcf_p2,0.05,0.001,0.05,1.0,0.7424242424242424,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu16_bcf_p2,0.1,0.0001,0.99,1.0,0.4603174603174603,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu16_bcf_p2,0.2,0.1,0.8,1.0,0.7678571428571429,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu16_bcf_p2,0.3,0.001,0.05,1.0,0.7551020408163265,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu16_bcf_p2,0.4,0.001,0.8,1.0,0.7380952380952381,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu16_bcf_p2,0.5,0.001,0.9,1.0,0.6857142857142857,"[None, None, None]",0.0,0.0,Focused,p2,,,,
