u,Trial,Task,Experiment,Openendedness,probabsame,minutessame,probabmodify1,minutesmodify1,probabmodify2,minutesmodify2,probabmodify3,minutesmodify3
stu13,1,p1,moviesacf,focused,0.7,0,0.0,0,0.1,0,0.2,0
stu13,1,p1,moviesacf,focused,0.7,0,0.0,0,0.1,0,0.2,0
stu13,1,p1,moviesacf,focused,0.7,0,0.0,0,0.1,0,0.2,0
stu15,0,p1,moviesade,focused,0.75,0,0.05,0,0.15,0,0.05,0
stu15,0,p1,moviesade,focused,0.75,0,0.05,0,0.15,0,0.05,0
stu15,0,p1,moviesade,focused,0.75,0,0.05,0,0.15,0,0.05,0
stu15,0,p1,moviesade,focused,0.75,0,0.05,0,0.15,0,0.05,0
stu15,1,p1,moviesade,focused,1.0,0,0.0,0,0.0,0,0.0,0
stu15,1,p1,moviesade,focused,1.0,0,0.0,0,0.0,0,0.0,0
stu15,1,p1,moviesade,focused,1.0,0,0.0,0,0.0,0,0.0,0
stu15,1,p1,moviesade,focused,1.0,0,0.0,0,0.0,0,0.0,0
stu17,0,p1,moviesace,focused,0.5,0,0.5,0,0.0,0,0.0,0
stu17,0,p1,moviesace,focused,0.5,0,0.5,0,0.0,0,0.0,0
stu17,0,p1,moviesace,focused,0.5,0,0.5,0,0.0,0,0.0,0
stu17,0,p1,moviesace,focused,0.5,0,0.5,0,0.0,0,0.0,0
stu17,1,p1,moviesace,focused,0.0,0,0.0,0,1.0,0,0.0,0
stu17,1,p1,moviesace,focused,0.0,0,0.0,0,1.0,0,0.0,0
stu17,1,p1,moviesace,focused,0.0,0,0.0,0,1.0,0,0.0,0
stu17,1,p1,moviesace,focused,0.0,0,0.0,0,1.0,0,0.0,0
stu21,0,p1,moviesace,focused,0.38461538461538464,0,0.6153846153846154,0,0.0,0,0.0,0
stu21,0,p1,moviesace,focused,0.38461538461538464,0,0.6153846153846154,0,0.0,0,0.0,0
stu21,0,p1,moviesace,focused,0.38461538461538464,0,0.6153846153846154,0,0.0,0,0.0,0
stu21,0,p1,moviesace,focused,0.38461538461538464,0,0.6153846153846154,0,0.0,0,0.0,0
stu21,1,p1,moviesace,focused,0.5714285714285714,0,0.42857142857142855,0,0.0,0,0.0,0
stu21,1,p1,moviesace,focused,0.5714285714285714,0,0.42857142857142855,0,0.0,0,0.0,0
stu21,1,p1,moviesace,focused,0.5714285714285714,0,0.42857142857142855,0,0.0,0,0.0,0
stu21,1,p1,moviesace,focused,0.5714285714285714,0,0.42857142857142855,0,0.0,0,0.0,0
stu24,0,p1,moviesace,focused,0.4,0,0.5,0,0.1,0,0.0,0
stu24,0,p1,moviesace,focused,0.4,0,0.5,0,0.1,0,0.0,0
stu24,0,p1,moviesace,focused,0.4,0,0.5,0,0.1,0,0.0,0
stu24,0,p1,moviesace,focused,0.4,0,0.5,0,0.1,0,0.0,0
stu24,1,p1,moviesace,focused,1.0,0,0.0,0,0.0,0,0.0,0
stu24,1,p1,moviesace,focused,1.0,0,0.0,0,0.0,0,0.0,0
stu24,1,p1,moviesace,focused,1.0,0,0.0,0,0.0,0,0.0,0
stu24,1,p1,moviesace,focused,1.0,0,0.0,0,0.0,0,0.0,0
stu25,0,p1,moviesace,focused,0.7931034482758621,0,0.10344827586206896,0,0.10344827586206896,0,0.0,0
stu25,0,p1,moviesace,focused,0.7931034482758621,0,0.10344827586206896,0,0.10344827586206896,0,0.0,0
stu25,0,p1,moviesace,focused,0.7931034482758621,0,0.10344827586206896,0,0.10344827586206896,0,0.0,0
stu25,0,p1,moviesace,focused,0.7931034482758621,0,0.10344827586206896,0,0.10344827586206896,0,0.0,0
stu25,1,p1,moviesace,focused,0.9090909090909091,0,0.0,0,0.0,0,0.09090909090909091,0
stu25,1,p1,moviesace,focused,0.9090909090909091,0,0.0,0,0.0,0,0.09090909090909091,0
stu25,1,p1,moviesace,focused,0.9090909090909091,0,0.0,0,0.0,0,0.09090909090909091,0
stu25,1,p1,moviesace,focused,0.9090909090909091,0,0.0,0,0.0,0,0.09090909090909091,0
stu26,0,p1,moviesace,focused,0.9,0,0.06666666666666667,0,0.03333333333333333,0,0.0,0
stu26,0,p1,moviesace,focused,0.9,0,0.06666666666666667,0,0.03333333333333333,0,0.0,0
stu26,0,p1,moviesace,focused,0.9,0,0.06666666666666667,0,0.03333333333333333,0,0.0,0
stu26,0,p1,moviesace,focused,0.9,0,0.06666666666666667,0,0.03333333333333333,0,0.0,0
stu26,1,p1,moviesace,focused,0.7647058823529411,0,0.0,0,0.11764705882352941,0,0.11764705882352941,0
stu26,1,p1,moviesace,focused,0.7647058823529411,0,0.0,0,0.11764705882352941,0,0.11764705882352941,0
stu26,1,p1,moviesace,focused,0.7647058823529411,0,0.0,0,0.11764705882352941,0,0.11764705882352941,0
stu26,1,p1,moviesace,focused,0.7647058823529411,0,0.0,0,0.11764705882352941,0,0.11764705882352941,0
stu29,0,p1,moviesade,focused,0.8888888888888888,0,0.0,0,0.1111111111111111,0,0.0,0
stu29,0,p1,moviesade,focused,0.8888888888888888,0,0.0,0,0.1111111111111111,0,0.0,0
stu29,0,p1,moviesade,focused,0.8888888888888888,0,0.0,0,0.1111111111111111,0,0.0,0
stu29,0,p1,moviesade,focused,0.8888888888888888,0,0.0,0,0.1111111111111111,0,0.0,0
stu29,1,p1,moviesade,focused,1.0,0,0.0,0,0.0,0,0.0,0
stu29,1,p1,moviesade,focused,1.0,0,0.0,0,0.0,0,0.0,0
stu29,1,p1,moviesade,focused,1.0,0,0.0,0,0.0,0,0.0,0
stu29,1,p1,moviesade,focused,1.0,0,0.0,0,0.0,0,0.0,0
stu30,0,p1,moviesadf,focused,0.9,0,0.1,0,0.0,0,0.0,0
stu30,0,p1,moviesadf,focused,0.9,0,0.1,0,0.0,0,0.0,0
stu30,0,p1,moviesadf,focused,0.9,0,0.1,0,0.0,0,0.0,0
stu30,0,p1,moviesadf,focused,0.9,0,0.1,0,0.0,0,0.0,0
stu30,1,p1,moviesadf,focused,0.0,0,0.0,0,0.0,0,0.0,0
stu30,1,p1,moviesadf,focused,0.0,0,0.0,0,0.0,0,0.0,0
stu30,1,p1,moviesadf,focused,0.0,0,0.0,0,0.0,0,0.0,0
stu30,1,p1,moviesadf,focused,0.0,0,0.0,0,0.0,0,0.0,0
stu31,0,p1,moviesade,focused,0.8484848484848485,0,0.0,0,0.09090909090909091,0,0.06060606060606061,0
stu31,0,p1,moviesade,focused,0.8484848484848485,0,0.0,0,0.09090909090909091,0,0.06060606060606061,0
stu31,0,p1,moviesade,focused,0.8484848484848485,0,0.0,0,0.09090909090909091,0,0.06060606060606061,0
stu31,0,p1,moviesade,focused,0.8484848484848485,0,0.0,0,0.09090909090909091,0,0.06060606060606061,0
stu31,1,p1,moviesade,focused,0.6666666666666666,0,0.3333333333333333,0,0.0,0,0.0,0
stu31,1,p1,moviesade,focused,0.6666666666666666,0,0.3333333333333333,0,0.0,0,0.0,0
stu31,1,p1,moviesade,focused,0.6666666666666666,0,0.3333333333333333,0,0.0,0,0.0,0
stu31,1,p1,moviesade,focused,0.6666666666666666,0,0.3333333333333333,0,0.0,0,0.0,0
stu36,0,p1,moviesadf,focused,0.7333333333333333,0,0.06666666666666667,0,0.06666666666666667,0,0.13333333333333333,0
stu36,0,p1,moviesadf,focused,0.7333333333333333,0,0.06666666666666667,0,0.06666666666666667,0,0.13333333333333333,0
stu36,0,p1,moviesadf,focused,0.7333333333333333,0,0.06666666666666667,0,0.06666666666666667,0,0.13333333333333333,0
stu36,0,p1,moviesadf,focused,0.7333333333333333,0,0.06666666666666667,0,0.06666666666666667,0,0.13333333333333333,0
stu36,1,p1,moviesadf,focused,1.0,0,0.0,0,0.0,0,0.0,0
stu36,1,p1,moviesadf,focused,1.0,0,0.0,0,0.0,0,0.0,0
stu36,1,p1,moviesadf,focused,1.0,0,0.0,0,0.0,0,0.0,0
stu36,1,p1,moviesadf,focused,1.0,0,0.0,0,0.0,0,0.0,0
stu37,0,p1,moviesadf,focused,0.7142857142857143,0,0.07142857142857142,0,0.07142857142857142,0,0.14285714285714285,0
stu37,0,p1,moviesadf,focused,0.7142857142857143,0,0.07142857142857142,0,0.07142857142857142,0,0.14285714285714285,0
stu37,0,p1,moviesadf,focused,0.7142857142857143,0,0.07142857142857142,0,0.07142857142857142,0,0.14285714285714285,0
stu37,0,p1,moviesadf,focused,0.7142857142857143,0,0.07142857142857142,0,0.07142857142857142,0,0.14285714285714285,0
stu37,1,p1,moviesadf,focused,1.0,0,0.0,0,0.0,0,0.0,0
stu37,1,p1,moviesadf,focused,1.0,0,0.0,0,0.0,0,0.0,0
stu37,1,p1,moviesadf,focused,1.0,0,0.0,0,0.0,0,0.0,0
stu37,1,p1,moviesadf,focused,1.0,0,0.0,0,0.0,0,0.0,0
stu38,0,p1,moviesacf,focused,0.65625,0,0.03125,0,0.25,0,0.0625,0
stu38,0,p1,moviesacf,focused,0.65625,0,0.03125,0,0.25,0,0.0625,0
stu38,0,p1,moviesacf,focused,0.65625,0,0.03125,0,0.25,0,0.0625,0
stu38,0,p1,moviesacf,focused,0.65625,0,0.03125,0,0.25,0,0.0625,0
stu38,1,p1,moviesacf,focused,0.72,0,0.08,0,0.08,0,0.12,0
stu38,1,p1,moviesacf,focused,0.72,0,0.08,0,0.08,0,0.12,0
stu38,1,p1,moviesacf,focused,0.72,0,0.08,0,0.08,0,0.12,0
stu38,1,p1,moviesacf,focused,0.72,0,0.08,0,0.08,0,0.12,0
stu39,0,p1,moviesadf,focused,0.5333333333333333,0,0.4666666666666667,0,0.0,0,0.0,0
stu39,0,p1,moviesadf,focused,0.5333333333333333,0,0.4666666666666667,0,0.0,0,0.0,0
stu39,0,p1,moviesadf,focused,0.5333333333333333,0,0.4666666666666667,0,0.0,0,0.0,0
stu39,0,p1,moviesadf,focused,0.5333333333333333,0,0.4666666666666667,0,0.0,0,0.0,0
stu39,1,p1,moviesadf,focused,0.375,0,0.25,0,0.375,0,0.0,0
stu39,1,p1,moviesadf,focused,0.375,0,0.25,0,0.375,0,0.0,0
stu39,1,p1,moviesadf,focused,0.375,0,0.25,0,0.375,0,0.0,0
stu39,1,p1,moviesadf,focused,0.375,0,0.25,0,0.375,0,0.0,0
stu3,0,p1,moviesacf,focused,0.6666666666666666,0,0.0,0,0.3333333333333333,0,0.0,0
