U_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State,User,Trial
4,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1602170536949,1.1,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging,stu39_adf_p1,1
5,added chart to bookmark,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1602170538058,1.1,modify-1,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Sensemaking,stu39_adf_p1,1
6,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Director-nominal-y",1602170538816,0.5722222222222222,modify-1,"['Director', 'None', 'None']","[12, 16, 16]",Foraging,stu39_adf_p1,1
7,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y",1602170553597,0.6555555555555556,same,"['Major_Genre', 'None', 'None']","[10, 16, 16]",Foraging,stu39_adf_p1,1
8,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y",1602170554264,0.6555555555555556,same,"['Major_Genre', 'None', 'None']","[10, 16, 16]",Foraging,stu39_adf_p1,1
9,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y",1602170561202,0.6555555555555556,same,"['Major_Genre', 'None', 'None']","[10, 16, 16]",Foraging,stu39_adf_p1,1
10,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y",1602170566372,0.6555555555555556,same,"['Major_Genre', 'None', 'None']","[10, 16, 16]",Foraging,stu39_adf_p1,1
11,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y",1602170567744,0.6555555555555556,same,"['Major_Genre', 'None', 'None']","[10, 16, 16]",Foraging,stu39_adf_p1,1
12,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y",1602170577346,0.6555555555555556,same,"['Major_Genre', 'None', 'None']","[10, 16, 16]",Foraging,stu39_adf_p1,2
13,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y",1602170578215,0.6555555555555556,modify-1,"['Major_Genre', 'None', 'None']","[10, 16, 16]",Foraging,stu39_adf_p1,2
14,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Release_Date-nominal-y",1602170578980,0.5722222222222222,modify-1,"['None', 'None', 'Release_Date']","[5, 16, 16]",Foraging,stu39_adf_p1,2
15,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Source-nominal-y",1602170597994,1.0722222222222222,modify-1,"['None', 'None', 'Source']","[9, 16, 16]",Foraging,stu39_adf_p1,2
16,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y",1602170599947,0.4333333333333333,modify-1,"['MPAA_Rating', 'None', 'None']","[6, 16, 16]",Foraging,stu39_adf_p1,2
17,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1602170602263,1.1,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging,stu39_adf_p1,2
18,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1602170605464,1.1,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging,stu39_adf_p1,2
