Algorithm,User,Threshold,LearningRate,Discount,Epsilon,Accuracy,StateAccuracy,Reward
TAMER-Q,data/NDSI-2D/U_3,0.8,0.001,0.1,0.1,0.8055555555555556,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_3,0.9,0.01,0.2,0.01,0.775,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_4,0.05,0.0001,0.05,0.01,0.75,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_4,0.1,0.1,0.9,0.1,0.75,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_4,0.2,1.0,0.2,0.01,0.75,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_4,0.3,0.1,0.05,0.05,0.7083333333333334,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_4,0.4,0.001,0.9,0.1,0.5625,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_4,0.5,0.001,0.5,0.05,0.575,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_4,0.6,0.001,0.9,0.1,0.4791666666666667,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_4,0.7,0.001,0.05,0.01,0.625,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_4,0.8,0.001,0.05,0.01,0.640625,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_4,0.9,0.0001,0.8,0.1,0.5833333333333334,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_5,0.05,0.5,0.1,0.1,0.6666666666666666,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_5,0.1,0.0001,0.1,0.01,0.75,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_5,0.2,0.0001,0.9,0.1,0.68,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_5,0.3,0.001,0.99,0.01,0.7368421052631579,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_5,0.4,0.5,0.1,0.01,0.7254901960784313,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_5,0.5,0.0001,0.9,0.01,0.765625,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_5,0.6,0.0001,0.99,0.1,0.7272727272727273,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_5,0.7,0.0001,0.05,0.01,0.7888888888888889,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_5,0.8,0.0001,0.2,0.01,0.7864077669902912,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_5,0.9,0.001,0.1,0.01,0.7844827586206896,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_6,0.05,0.001,0.1,0.1,0.8888888888888888,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_6,0.1,0.0001,0.8,0.1,0.7368421052631579,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_6,0.2,0.001,0.9,0.01,0.46153846153846156,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_6,0.3,0.0001,0.9,0.01,0.7241379310344828,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_6,0.4,0.0001,0.05,0.01,0.7692307692307693,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_6,0.5,0.0001,0.5,0.01,0.7525773195876289,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_6,0.6,0.0001,0.05,0.01,0.7264957264957265,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_6,0.7,0.0001,0.8,0.01,0.75,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_6,0.8,0.0001,0.05,0.01,0.75,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_6,0.9,0.0001,0.5,0.01,0.7428571428571429,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_7,0.05,0.001,0.1,0.01,1.0,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_7,0.1,1.0,0.9,0.01,1.0,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_7,0.2,0.001,0.05,0.01,1.0,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_7,0.3,0.0001,0.2,0.1,0.8571428571428571,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_7,0.4,0.001,0.2,0.05,0.8421052631578947,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_7,0.5,0.001,0.1,0.01,0.8333333333333334,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_7,0.6,0.5,0.1,0.1,0.6206896551724138,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_7,0.7,0.001,0.05,0.05,0.7352941176470589,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_7,0.8,0.1,0.2,0.01,0.7435897435897436,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_7,0.9,0.5,0.5,0.05,0.7727272727272727,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_8,0.05,0.001,0.1,0.01,1.0,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_8,0.1,0.01,0.1,0.1,0.875,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_8,0.2,0.001,0.5,0.01,0.8125,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_8,0.3,0.001,0.05,0.01,0.875,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_8,0.4,0.01,0.1,0.01,0.8125,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_8,0.5,0.001,0.2,0.01,0.8292682926829268,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_8,0.6,0.001,0.1,0.1,0.7346938775510204,"[None, None, None]",0
