Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward
Reinforce,stu36_adf_p4,0.4,0.0001,0.2,,0.7368421052631579,"[None, None, None]",0
Reinforce,stu36_adf_p4,0.5,0.0001,0.8,,0.6838709677419355,"[None, None, None]",0
Reinforce,stu36_adf_p4,0.6,0.001,0.05,,0.752,"[None, None, None]",0
Reinforce,stu36_adf_p4,0.7,0.0001,0.99,,0.6736842105263158,"[None, None, None]",0
Reinforce,stu36_adf_p4,0.8,0.001,0.05,,0.7692307692307693,"[None, None, None]",0
Reinforce,stu36_adf_p4,0.9,0.0001,0.1,,0.6857142857142857,"[None, None, None]",0
Reinforce,stu37_adf_p4,0.05,0.0001,0.8,,0.28135593220338984,"[None, None, None]",0
Reinforce,stu37_adf_p4,0.1,0.0001,0.1,,0.31428571428571433,"[None, None, None]",0
Reinforce,stu37_adf_p4,0.2,0.0001,0.99,,0.276,"[None, None, None]",0
Reinforce,stu37_adf_p4,0.3,0.001,0.2,,0.3545454545454546,"[None, None, None]",0
Reinforce,stu37_adf_p4,0.4,0.001,0.1,,0.2736842105263158,"[None, None, None]",0
Reinforce,stu37_adf_p4,0.5,0.001,0.05,,0.3612903225806452,"[None, None, None]",0
Reinforce,stu37_adf_p4,0.6,0.001,0.2,,0.36000000000000004,"[None, None, None]",0
Reinforce,stu37_adf_p4,0.7,0.001,0.1,,0.3894736842105263,"[None, None, None]",0
Reinforce,stu37_adf_p4,0.8,0.001,0.8,,0.24615384615384617,"[None, None, None]",0
Reinforce,stu37_adf_p4,0.9,0.001,0.1,,0.45714285714285713,"[None, None, None]",0
Reinforce,stu4_ade_p4,0.05,0.0001,0.05,,0.1375,"[None, None, None]",0
Reinforce,stu4_ade_p4,0.1,0.001,0.2,,0.5933333333333334,"[None, None, None]",0
