User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State,Task
421,main chart changed because of clicking a field,"mark:tick;encoding:Distributor-nominal-y,Worldwide_Gross-quantitative-x",1607029150808,6.961111111111111,modify-2,"['Distributor', 'None', 'Worldwide_Gross']","[2, 8, 16]",Foraging,p3
422,clicked on a field,add Rotten_Tomatoes_Rating,1607029154226,0.7944444444444444,modify-2,"['None', 'None', 'Rotten_Tomatoes_Rating']","[13, 16, 16]",Foraging,p3
423,main chart changed because of clicking a field,"mark:point;encoding:Distributor-nominal-y,Rotten_Tomatoes_Rating-quantitative-x<bin>,Worldwide_Gross-quantitative-size<aggregate>mean",1607029154267,7.655555555555556,same,"['Distributor', 'Rotten_Tomatoes_Rating', 'Worldwide_Gross']","[2, 8, 13]",Foraging,p3
424,mouseover on the specified chart,"mark:point;encoding:Distributor-nominal-y,Rotten_Tomatoes_Rating-quantitative-x<bin>,Worldwide_Gross-quantitative-size<aggregate>mean",1607029156594,7.655555555555556,same,"['Distributor', 'Rotten_Tomatoes_Rating', 'Worldwide_Gross']","[2, 8, 13]",Sensemaking,p3
425,scroll on the specified chart,"mark:point;encoding:Distributor-nominal-y,Rotten_Tomatoes_Rating-quantitative-x<bin>,Worldwide_Gross-quantitative-size<aggregate>mean",1607029167042,7.655555555555556,same,"['Distributor', 'Rotten_Tomatoes_Rating', 'Worldwide_Gross']","[2, 8, 13]",Sensemaking,p3
434,scroll on the specified chart,"mark:point;encoding:Distributor-nominal-y,Rotten_Tomatoes_Rating-quantitative-x<bin>,Worldwide_Gross-quantitative-size<aggregate>mean",1607029168397,7.655555555555556,same,"['Distributor', 'Rotten_Tomatoes_Rating', 'Worldwide_Gross']","[2, 8, 13]",Sensemaking,p3
458,scroll on the specified chart,"mark:point;encoding:Distributor-nominal-y,Rotten_Tomatoes_Rating-quantitative-x<bin>,Worldwide_Gross-quantitative-size<aggregate>mean",1607029169662,7.655555555555556,same,"['Distributor', 'Rotten_Tomatoes_Rating', 'Worldwide_Gross']","[2, 8, 13]",Sensemaking,p3
476,scroll on the specified chart,"mark:point;encoding:Distributor-nominal-y,Rotten_Tomatoes_Rating-quantitative-x<bin>,Worldwide_Gross-quantitative-size<aggregate>mean",1607029170544,7.655555555555556,same,"['Distributor', 'Rotten_Tomatoes_Rating', 'Worldwide_Gross']","[2, 8, 13]",Sensemaking,p3
551,mouseout on the specified chart,"mark:point;encoding:Distributor-nominal-y,Rotten_Tomatoes_Rating-quantitative-x<bin>,Worldwide_Gross-quantitative-size<aggregate>mean",1607029172898,7.655555555555556,modify-1,"['Distributor', 'Rotten_Tomatoes_Rating', 'Worldwide_Gross']","[2, 8, 13]",Sensemaking,p3
553,mouseout a related chart,"mark:bar;encoding:Distributor-nominal-y,Worldwide_Gross-quantitative-x<aggregate>mean",1607029173463,6.961111111111111,modify-1,"['Distributor', 'None', 'Worldwide_Gross']","[2, 8, 16]",Foraging,p3
