User,Accuracy,Threshold,LearningRate,Discount,Algorithm
stu31_ade_p4,0.42410714285714285,0.1,0,0,HMM
stu31_ade_p4,0.45226130653266333,0.2,0,0,HMM
stu31_ade_p4,0.4742857142857143,0.3,0,0,HMM
stu31_ade_p4,0.5266666666666666,0.4,0,0,HMM
stu31_ade_p4,0.56,0.5,0,0,HMM
stu31_ade_p4,0.55,0.6,0,0,HMM
stu31_ade_p4,0.6133333333333333,0.7,0,0,HMM
stu31_ade_p4,0.6666666666666666,0.8,0,0,HMM
stu31_ade_p4,0.6538461538461539,0.9,0,0,HMM
stu36_adf_p4,0.15328467153284672,0.05,0,0,HMM
stu36_adf_p4,0.13846153846153847,0.1,0,0,HMM
stu36_adf_p4,0.1565217391304348,0.2,0,0,HMM
stu36_adf_p4,0.22772277227722773,0.3,0,0,HMM
stu36_adf_p4,0.13793103448275862,0.4,0,0,HMM
stu36_adf_p4,0.1527777777777778,0.5,0,0,HMM
stu36_adf_p4,0.39655172413793105,0.6,0,0,HMM
stu36_adf_p4,0.25,0.7,0,0,HMM
stu36_adf_p4,0.3,0.8,0,0,HMM
stu36_adf_p4,0.4,0.9,0,0,HMM
stu37_adf_p4,0.4251968503937008,0.05,0,0,HMM
stu37_adf_p4,0.14049586776859505,0.1,0,0,HMM
stu37_adf_p4,0.22429906542056074,0.2,0,0,HMM
stu37_adf_p4,0.23404255319148937,0.3,0,0,HMM
stu37_adf_p4,0.25925925925925924,0.4,0,0,HMM
stu37_adf_p4,0.27941176470588236,0.5,0,0,HMM
stu37_adf_p4,0.05555555555555555,0.6,0,0,HMM
stu37_adf_p4,0.21951219512195122,0.7,0,0,HMM
stu37_adf_p4,0.14285714285714285,0.8,0,0,HMM
stu37_adf_p4,0.35714285714285715,0.9,0,0,HMM
stu38_acf_p4,0.43617021276595747,0.05,0,0,HMM
stu38_acf_p4,0.25842696629213485,0.1,0,0,HMM
stu38_acf_p4,0.379746835443038,0.2,0,0,HMM
stu38_acf_p4,0.37142857142857144,0.3,0,0,HMM
stu38_acf_p4,0.3333333333333333,0.4,0,0,HMM
stu38_acf_p4,0.34,0.5,0,0,HMM
stu38_acf_p4,0.3,0.6,0,0,HMM
stu38_acf_p4,0.3333333333333333,0.7,0,0,HMM
stu38_acf_p4,0.2857142857142857,0.8,0,0,HMM
stu38_acf_p4,0.09090909090909091,0.9,0,0,HMM
stu39_adf_p4,0.27450980392156865,0.05,0,0,HMM
stu39_adf_p4,0.25773195876288657,0.1,0,0,HMM
stu39_adf_p4,0.21511627906976744,0.2,0,0,HMM
stu39_adf_p4,0.152317880794702,0.3,0,0,HMM
stu39_adf_p4,0.14728682170542637,0.4,0,0,HMM
stu39_adf_p4,0.12962962962962962,0.5,0,0,HMM
stu39_adf_p4,0.034482758620689655,0.6,0,0,HMM
stu39_adf_p4,0.23076923076923078,0.7,0,0,HMM
