Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon,Openended,Task,participant_id,user,threshold,ncp-1,rank
ActorCritic,stu17_ace_p4,0.5,0.001,0.99,1.0,0.4722222222222222,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu17_ace_p4,0.6,0.0001,0.5,1.0,0.2758620689655172,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu17_ace_p4,0.7,0.1,0.8,1.0,0.4090909090909091,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu17_ace_p4,0.8,0.0001,0.99,1.0,0.3333333333333333,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu17_ace_p4,0.9,0.0001,0.05,1.0,0.5,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu13_acf_p4,0.05,0.0001,0.05,1.0,0.5535714285714286,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu13_acf_p4,0.1,0.0001,0.05,1.0,0.5566037735849056,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu13_acf_p4,0.2,0.0001,0.5,1.0,0.5638297872340425,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu13_acf_p4,0.3,0.01,0.5,1.0,0.5609756097560976,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu13_acf_p4,0.4,0.1,0.5,1.0,0.6056338028169014,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu13_acf_p4,0.5,0.0001,0.1,1.0,0.559322033898305,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu13_acf_p4,0.6,0.0001,0.99,1.0,0.574468085106383,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu13_acf_p4,0.7,0.001,0.5,1.0,0.5555555555555556,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu13_acf_p4,0.8,0.0001,0.2,1.0,0.5416666666666666,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu13_acf_p4,0.9,0.0001,0.2,1.0,1.0,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu21_ace_p4,0.05,0.0001,0.5,1.0,0.7128712871287128,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu21_ace_p4,0.1,0.0001,0.99,1.0,0.71875,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
